52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 11:17
1000 	 N 
1.200 	 scale 
0.600 	 mem 
1.000 	 exp
(-21117350830404509806407336879190341700087303324184484913333546086563840.0000, 2602261978773266724414913035245879092914925707090720718848.0000, 21117350830407111983835727158471834173339404549178269532363013843058688.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.4950 	 AUC
