52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 10:46
1000 	 N 
1.000 	 scale 
1.800 	 mem 
1.000 	 exp
(-1693036155650682088544373026547162501456508088616996257944231022166016.0000, 1873102511361930651016924096274352726837493477425780097024.0000, 1693036155652555181219196359204290991110442554016674261836319929925632.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.5072 	 AUC
