52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 12:19
1000 	 N 
1.600 	 scale 
0.001 	 mem 
1.000 	 exp
(-10926108294857528830476864157652239518719857655158873621323429907542310912.0000, 100433627766186892221372630771322662657637687111424552206336.0000, 10926108294857629264104630344544460891350628977821531259010541332094517248.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.5035 	 AUC
