52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 11:56
1000 	 N 
1.400 	 scale 
0.600 	 mem 
1.000 	 exp
(-2261331504436857018021586367144889737833781790855867926577152.0000, 824555426500431901303840192865061486299388945398638213154822821540528128.0000, 824555426502693227204013244610233329439099507225039086703690989973798912.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.5199 	 AUC
