52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 11:25
1000 	 N 
1.200 	 scale 
1.600 	 mem 
1.000 	 exp
(-8885596866579593337360959870087418596575178098418871435264.0000, 1647990214467085449957144109614715503939125567102314280597052657800052736.0000, 1647990214467094277131459497134539648018001952883211924534396435348586496.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.5077 	 AUC
