52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 11:42
1000 	 N 
1.300 	 scale 
1.200 	 mem 
1.000 	 exp
(-16372279300955076424611695812116583434693981802023709771408904439201792.0000, 65936567316378606050952197661953280426596603963386448064769916225454080.0000, 82308846617333682475563893474069863861290585765410157836178820664655872.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.5031 	 AUC
