52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 12:16
1000 	 N 
1.500 	 scale 
1.500 	 mem 
1.000 	 exp
(-148351473944170964706821573504531374107400612787968991911736969244381806592.0000, 1638921928848412537480684662367837390161171683298519382846246849897037824.0000, 149990395873019375675026824320229020538614428669350907268994354978270216192.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.5197 	 AUC
