52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 10:58
1000 	 N 
1.100 	 scale 
0.700 	 mem 
1.000 	 exp
(-10331323841298153529807222644099281120795205055681793097728.0000, 44007878831658270516390059894447995604617895611424525482307262600970240.0000, 44007878831668599536335495985353330863580888695322115783990780079636480.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.4946 	 AUC
