52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 11:44
1000 	 N 
1.300 	 scale 
1.400 	 mem 
1.000 	 exp
(-3138550867693340381917894711603833208051177722232017256448.0000, 1953704335501326286705157740566900442589884992754005879711975391656673280.0000, 1953704335501329425256025433907282360484596596587213930889697623673929728.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.4947 	 AUC
