52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 12:23
1000 	 N 
1.600 	 scale 
0.200 	 mem 
1.000 	 exp
(-3533694129556768659166595001485837031654967793751237916243212402585239552.0000, 5300541194335152988749892502228755547482451690626856874364818603877859328.0000, 8834235323891921647916487503714592579137419484378094790608031006463098880.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.5101 	 AUC
