52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 11:36
1000 	 N 
1.300 	 scale 
0.400 	 mem 
1.000 	 exp
(-720885531640653989772860237934306771455457688789263722367550790693663277056.0000, 4829693514944433839723324644559510400087481049256095121408.0000, 720885531640653989772860237934306771455457688789263722367550790693663277056.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.4929 	 AUC
