52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 10:59
1000 	 N 
1.100 	 scale 
0.800 	 mem 
1.000 	 exp
(-704256765186680893178704362740037376575371295278376157184.0000, 239355530134403537335670680286853079966275610865691369184780725453324288.0000, 239355530134404223893672988205061624505743774204205630379907463707099136.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.4824 	 AUC
