52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 11:00
1000 	 N 
1.100 	 scale 
0.900 	 mem 
1.000 	 exp
(-38489132753080957032106584471958365348994349030034113908299502926692352.0000, 2445311981019064844779337976736832110327865053053647323136.0000, 38489132753083402894989806430576305270849680923491169415938507955765248.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.5005 	 AUC
