52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 11:43
1000 	 N 
1.300 	 scale 
1.300 	 mem 
1.000 	 exp
(-1789591398833989368158394253345517106429727710561328690817130080482885632.0000, 5626490896647742735953631687595164402151753402671846503281827451099938816.0000, 7416082295481731319474309017605586029107803212274873181304526973578510336.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.5180 	 AUC
