52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 12:02
1000 	 N 
1.400 	 scale 
1.500 	 mem 
1.000 	 exp
(-85228190623248066333568446844025214552936729863033503205639546633977856.0000, 5641467052989588052115921887146830965767383479257800630709743869161897984.0000, 5726695243612836142969418987845077914053872643525781071815209370733510656.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.5103 	 AUC
