52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 11:27
1000 	 N 
1.200 	 scale 
1.700 	 mem 
1.000 	 exp
(-1236039158369755457448484806877059867857204719286648569856.0000, 24576979054338155777244927338222607490521296428343004019818209310932992.0000, 24576979054339390968650865244642444318225179577545000723550689294286848.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.4788 	 AUC
