52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 12:31
1000 	 N 
1.600 	 scale 
1.500 	 mem 
1.000 	 exp
(-10500750455368639864793319464356143799263618976259346338045591847564214272.0000, 328621064321785686652375462310779694125301942574004262919995392.0000, 10500750455697260264119716822374666006094742530391740875863034098391973888.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.5059 	 AUC
