52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 11:58
1000 	 N 
1.400 	 scale 
0.800 	 mem 
1.000 	 exp
(-49039857307708432578431363398779063047812214093292503040.0000, 1220193340834885837036267909851103836577269263621158981016972057225723904.0000, 1220193340834885837036267909851103836577269263621158981016972057225723904.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.4916 	 AUC
