52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 11:51
1000 	 N 
1.400 	 scale 
0.050 	 mem 
1.000 	 exp
(-4697633593868578423686908057040350017632706290543341884679689795740368896.0000, 31385508676933403819178947116038332080511777222320172564480.0000, 4697633593868609809195584990444169196579822328875422396456912115912933376.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.5016 	 AUC
