52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 10:43
1000 	 N 
1.000 	 scale 
1.500 	 mem 
1.000 	 exp
(-123758396698495807817866220173340556693994262486725951488.0000, 15898937274005130523096152937516576005221875511941954920734620381085696.0000, 15898937274005253122739422208625244672984047536676644419864395069259776.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.5124 	 AUC
