52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 11:20
1000 	 N 
1.200 	 scale 
1.000 	 mem 
1.000 	 exp
(-794177023830804799924925199850068818690853356810489834556578924068864.0000, 700870907001703141264490182000201920712351567704424006954938712195072.0000, 1495047930832507845408444077732217092006515727620589865340322499788800.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.4765 	 AUC
