52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 10:57
1000 	 N 
1.100 	 scale 
0.500 	 mem 
1.000 	 exp
(-218411316610822113469381092772646791847409498940849306730496.0000, 4077714045014723220752015611284847952694725835879676096543133496508416.0000, 4077714045233134485236222091378079571004187900729018796236740478631936.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.4999 	 AUC
