52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 12:28
1000 	 N 
1.600 	 scale 
1.000 	 mem 
1.000 	 exp
(-11030723601369761484980864413600137863310539426201458794602351074213888.0000, 32015991221949786073934879136692167627202893601040183252490268807528448.0000, 43046714823319547558915743550292305490513433027241642047092619881742336.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.4763 	 AUC
