52e4503b97be@Linux-4.9.0-9-amd64-x86_64-with-debian-9.9
/github/pnet2019/grid_search_loop/tr5000_N1000
ESNtrainCV.py
2019-08-22 11:57
1000 	 N 
1.400 	 scale 
0.700 	 mem 
1.000 	 exp
(-1569275433846670190958947355801916604025588861116008628224.0000, 511765064890890687506208041529651283578120193883529739034998982085443584.0000, 511765064890892256781641888199842242525475995800133764623860098094071808.0000) 	 th_i, th_f, *th_sc
0.0000 	 th
0.0000 	 Pr
0.0000 	 Re
0.0000 	 F1
0.0000 	 ACC
0.5015 	 AUC
